GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MusiGuessr Backend,com.musiguessr.backend.model,GameState,0,21,0,0,0,4,0,1,0,1
MusiGuessr Backend,com.musiguessr.backend.model,UserRole,0,27,0,0,0,5,0,1,0,1
MusiGuessr Backend,com.musiguessr.backend.model,TournamentState,0,21,0,0,0,4,0,1,0,1
MusiGuessr Backend,com.musiguessr.backend.controller,ArtistController,0,36,0,0,0,6,0,5,0,5
MusiGuessr Backend,com.musiguessr.backend.controller,GenreController,0,36,0,0,0,6,0,5,0,5
MusiGuessr Backend,com.musiguessr.backend.controller,GameController,0,40,0,0,0,6,0,6,0,6
MusiGuessr Backend,com.musiguessr.backend.controller,UserController,30,81,0,0,6,14,3,8,3,8
MusiGuessr Backend,com.musiguessr.backend.controller,LeaderboardController,0,27,0,0,0,5,0,4,0,4
MusiGuessr Backend,com.musiguessr.backend.controller,FollowingController,0,81,0,0,0,19,0,7,0,7
MusiGuessr Backend,com.musiguessr.backend.controller,MusicController,6,38,0,0,1,6,1,5,1,5
MusiGuessr Backend,com.musiguessr.backend.controller,AuthController,7,20,0,0,2,3,1,3,1,3
MusiGuessr Backend,com.musiguessr.backend.controller,PlaylistController,36,49,0,0,7,9,5,6,5,6
MusiGuessr Backend,com.musiguessr.backend.controller,TournamentController,36,71,0,0,7,12,4,6,4,6
MusiGuessr Backend,com.musiguessr.backend.controller,PostController,0,47,0,0,0,10,0,5,0,5
MusiGuessr Backend,com.musiguessr.backend.dto.auth,AuthResponseDTO,0,28,0,0,0,10,0,1,0,1
MusiGuessr Backend,com.musiguessr.backend.service,ArtistService,85,117,15,9,14,19,15,8,4,7
MusiGuessr Backend,com.musiguessr.backend.service,UserService,184,233,14,12,48,47,22,12,13,8
MusiGuessr Backend,com.musiguessr.backend.service,GameService,158,674,28,36,17,149,39,16,11,12
MusiGuessr Backend,com.musiguessr.backend.service,FollowingService,126,368,22,22,26,84,24,16,6,12
MusiGuessr Backend,com.musiguessr.backend.service,PlaylistService,405,556,51,39,76,128,55,20,16,14
MusiGuessr Backend,com.musiguessr.backend.service,MusicService,122,325,24,26,13,68,27,12,5,9
MusiGuessr Backend,com.musiguessr.backend.service,S3Service,0,81,0,0,0,26,0,4,0,4
MusiGuessr Backend,com.musiguessr.backend.service,AuthService,42,138,3,3,7,36,3,4,1,3
MusiGuessr Backend,com.musiguessr.backend.service,PostService,45,221,5,17,2,54,10,13,5,7
MusiGuessr Backend,com.musiguessr.backend.service,GenreService,11,191,10,14,0,33,11,12,1,10
MusiGuessr Backend,com.musiguessr.backend.service,TournamentService,349,356,43,33,63,87,50,12,16,8
MusiGuessr Backend,com.musiguessr.backend.service,RefreshTokenService,0,86,0,2,0,15,0,4,0,3
MusiGuessr Backend,com.musiguessr.backend.service,LeaderboardService,17,206,4,6,3,49,4,11,0,10
MusiGuessr Backend,com.musiguessr.backend.dto.artist,ArtistResponseDTO,0,12,0,0,0,5,0,1,0,1
MusiGuessr Backend,com.musiguessr.backend,MusiGuessrBackendApplication,5,3,0,0,2,1,1,1,1,1
MusiGuessr Backend,com.musiguessr.backend.dto.genre,GenreResponseDTO,0,12,0,0,0,5,0,1,0,1
MusiGuessr Backend,com.musiguessr.backend.util,AuthUtil,0,68,1,9,0,15,1,8,0,4
MusiGuessr Backend,com.musiguessr.backend.dto.token,RefreshTokenResponseDTO,0,12,0,0,0,5,0,1,0,1
MusiGuessr Backend,com.musiguessr.backend.security,CustomUserDetailsService,18,0,0,0,3,0,2,0,2,0
MusiGuessr Backend,com.musiguessr.backend.security,JwtAuthenticationEntryPoint,13,3,0,0,4,1,1,1,1,1
MusiGuessr Backend,com.musiguessr.backend.security,JwtUtil,0,53,0,0,0,22,0,5,0,5
MusiGuessr Backend,com.musiguessr.backend.security,JwtAuthFilter,34,20,5,1,7,8,3,2,0,2
MusiGuessr Backend,com.musiguessr.backend.security,CustomUserDetails,24,16,2,0,6,3,7,2,6,2
MusiGuessr Backend,com.musiguessr.backend.dto.playlist,PlaylistResponseDTO,0,15,0,0,0,6,0,1,0,1
MusiGuessr Backend,com.musiguessr.backend.config,CorsConfig,0,76,0,0,0,9,0,2,0,2
MusiGuessr Backend,com.musiguessr.backend.config,SecurityConfig,0,185,0,0,0,30,0,8,0,8
MusiGuessr Backend,com.musiguessr.backend.config,S3Config,0,34,0,0,0,10,0,4,0,4
MusiGuessr Backend,com.musiguessr.backend.config,OpenApiConfig,0,38,0,0,0,12,0,2,0,2
